date|lengthThreshold|languages
1323302400000|20|ar
1323302400000|20|tk
1323302400000|20|tk
1323302400000|20|uz
1323302400000|20|uz
1323302400000|20|uz
1323302400000|20|uz
1323302400000|20|uz
1323302400000|20|uz
1323302400000|20|uz
1323302400000|20|uz
1323302400000|20|uz;tk
1323302400000|20|uz;tk
1323302400000|40|ar
1323302400000|40|tk
1323302400000|40|tk
1323302400000|40|uz
1323302400000|40|uz
1323302400000|40|uz
1323302400000|40|uz
1323302400000|40|uz
1323302400000|40|uz
1323302400000|40|uz
1323302400000|40|uz
1323302400000|40|uz;tk
1323302400000|40|uz;tk
1323302400000|113|ar
1323302400000|113|tk
1323302400000|113|tk
1323302400000|113|uz
1323302400000|113|uz
1323302400000|113|uz
1323302400000|113|uz
1323302400000|113|uz
1323302400000|113|uz
1323302400000|113|uz
1323302400000|113|uz
1323302400000|113|uz;tk
1323302400000|113|uz;tk
1323302400000|97|ar
1323302400000|97|tk
1323302400000|97|tk
1323302400000|97|uz
1323302400000|97|uz
1323302400000|97|uz
1323302400000|97|uz
1323302400000|97|uz
1323302400000|97|uz
1323302400000|97|uz
1323302400000|97|uz
1323302400000|97|uz;tk
1323302400000|97|uz;tk
1323302400000|240|ar
1323302400000|240|tk
1323302400000|240|tk
1323302400000|240|uz
1323302400000|240|uz
1323302400000|240|uz
1323302400000|240|uz
1323302400000|240|uz
1323302400000|240|uz
1323302400000|240|uz
1323302400000|240|uz
1323302400000|240|uz;tk
1323302400000|240|uz;tk
1323907200000|20|ar
1323907200000|20|tk
1323907200000|20|tk
1323907200000|20|uz
1323907200000|20|uz
1323907200000|20|uz
1323907200000|20|uz
1323907200000|20|uz
1323907200000|20|uz
1323907200000|20|uz
1323907200000|20|uz
1323907200000|20|uz;tk
1323907200000|20|uz;tk
1323907200000|40|ar
1323907200000|40|tk
1323907200000|40|tk
1323907200000|40|uz
1323907200000|40|uz
1323907200000|40|uz
1323907200000|40|uz
1323907200000|40|uz
1323907200000|40|uz
1323907200000|40|uz
1323907200000|40|uz
1323907200000|40|uz;tk
1323907200000|40|uz;tk
1323907200000|113|ar
1323907200000|113|tk
1323907200000|113|tk
1323907200000|113|uz
1323907200000|113|uz
1323907200000|113|uz
1323907200000|113|uz
1323907200000|113|uz
1323907200000|113|uz
1323907200000|113|uz
1323907200000|113|uz
1323907200000|113|uz;tk
1323907200000|113|uz;tk
1323907200000|97|ar
1323907200000|97|tk
1323907200000|97|tk
1323907200000|97|uz
1323907200000|97|uz
1323907200000|97|uz
1323907200000|97|uz
1323907200000|97|uz
1323907200000|97|uz
1323907200000|97|uz
1323907200000|97|uz
1323907200000|97|uz;tk
1323907200000|97|uz;tk
1323907200000|240|ar
1323907200000|240|tk
1323907200000|240|tk
1323907200000|240|uz
1323907200000|240|uz
1323907200000|240|uz
1323907200000|240|uz
1323907200000|240|uz
1323907200000|240|uz
1323907200000|240|uz
1323907200000|240|uz
1323907200000|240|uz;tk
1323907200000|240|uz;tk
1324512000000|20|ar
1324512000000|20|tk
1324512000000|20|tk
1324512000000|20|uz
1324512000000|20|uz
1324512000000|20|uz
1324512000000|20|uz
1324512000000|20|uz
1324512000000|20|uz
1324512000000|20|uz
1324512000000|20|uz
1324512000000|20|uz;tk
1324512000000|20|uz;tk
1324512000000|40|ar
1324512000000|40|tk
1324512000000|40|tk
1324512000000|40|uz
1324512000000|40|uz
1324512000000|40|uz
1324512000000|40|uz
1324512000000|40|uz
1324512000000|40|uz
1324512000000|40|uz
1324512000000|40|uz
1324512000000|40|uz;tk
1324512000000|40|uz;tk
1324512000000|113|ar
1324512000000|113|tk
1324512000000|113|tk
1324512000000|113|uz
1324512000000|113|uz
1324512000000|113|uz
1324512000000|113|uz
1324512000000|113|uz
1324512000000|113|uz
1324512000000|113|uz
1324512000000|113|uz
1324512000000|113|uz;tk
1324512000000|113|uz;tk
1324512000000|97|ar
1324512000000|97|tk
1324512000000|97|tk
1324512000000|97|uz
1324512000000|97|uz
1324512000000|97|uz
1324512000000|97|uz
1324512000000|97|uz
1324512000000|97|uz
1324512000000|97|uz
1324512000000|97|uz
1324512000000|97|uz;tk
1324512000000|97|uz;tk
1324512000000|240|ar
1324512000000|240|tk
1324512000000|240|tk
1324512000000|240|uz
1324512000000|240|uz
1324512000000|240|uz
1324512000000|240|uz
1324512000000|240|uz
1324512000000|240|uz
1324512000000|240|uz
1324512000000|240|uz
1324512000000|240|uz;tk
1324512000000|240|uz;tk
1325376000000|20|ar
1325376000000|20|tk
1325376000000|20|tk
1325376000000|20|uz
1325376000000|20|uz
1325376000000|20|uz
1325376000000|20|uz
1325376000000|20|uz
1325376000000|20|uz
1325376000000|20|uz
1325376000000|20|uz
