country|endDate
Senegal|1356998400000
Tunisia|1356998400000
Zambia|1356998400000
Ethiopia|1356998400000
Cameroon|1356998400000
Kazakhstan|1356998400000
Ukraine|1356998400000
Australia|1356998400000
Thailand|1356998400000
Netherlands|1356998400000
Taiwan|1356998400000
South_Africa|1356998400000
Argentina|1356998400000
Azerbaijan|1356998400000
South_Korea|1356998400000
Nepal|1356998400000
Spain|1356998400000
Cambodia|1356998400000
Malaysia|1356998400000
Hungary|1356998400000
Canada|1356998400000
Iran|1356998400000
Peru|1356998400000
Belarus|1356998400000
France|1356998400000
Tanzania|1356998400000
Portugal|1356998400000
Morocco|1356998400000
Poland|1356998400000
Italy|1356998400000
Belgium|1356998400000
